id,name,image_url,description,rarity
SP-001,笑顔の女の子,https://mfctc.kaikaikiki.comassets/images/card/EN_SP-001_C.jpg,"目: まつ毛
口: 笑顔
種族: PWAG",C
SP-002,ときめき,https://mfctc.kaikaikiki.comassets/images/card/EN_SP-002_C.jpg,"目: ノーマル
口: ぺろり
アイウェア: トキメキ
種族: LBWLB",C
SP-003,スーパーマッドボムゲーム,https://mfctc.kaikaikiki.comassets/images/card/EN_SP-003_C.jpg,"目: まつ毛
口: にやり
背景: スーパーマッドボムゲーム
種族: CMGPB",C
SP-004,レインボーグラス,https://mfctc.kaikaikiki.comassets/images/card/EN_SP-004_SR.jpg,"口: にっこり
アイウェア: レインボーグラス
種族: BGRB",SR
SP-005,炎,https://mfctc.kaikaikiki.comassets/images/card/EN_SP-005_C.jpg,"目: びっくり
口: べぇ
背景: 炎
種族: PRBPB",C
SP-006,The Dark Side of the Moonのプリズム,https://mfctc.kaikaikiki.comassets/images/card/EN_SP-006_R.jpg,"目: よそ見
口: 茫然
背景: プリズム
種族: VLVGG",R
SP-007,おめかしした女の子,https://mfctc.kaikaikiki.comassets/images/card/EN_SP-007_C.jpg,"目: まつ毛
マウスウェア: たらこ唇
アクセサリー: イヤリング,リボン
背景: 発光
種族: VRVLV",C
SP-008,ひらめき,https://mfctc.kaikaikiki.comassets/images/card/EN_SP-008_C.jpg,"目: ウインク
口: 不満
アクセサリー: びっくり
種族: VLPLVCR",C
SP-009,ショックで目が回る,https://mfctc.kaikaikiki.comassets/images/card/EN_SP-009_R.jpg,"口: べぇ
アイウェア: 目が回る
背景: 衝撃
種族: LBDRCR",R
SP-010,九州ラーメン,https://mfctc.kaikaikiki.comassets/images/card/EN_SP-010_C.jpg,"目: びっくり
口: 満足
マウスウェア: ラーメン
種族: PBWSB",C
SP-011,ネオン,https://mfctc.kaikaikiki.comassets/images/card/EN_SP-011_R.jpg,"目: ノーマル
口: にやり
コスチューム: ネオン
種族: DBLBBB",R
SP-012,イバラ,https://mfctc.kaikaikiki.comassets/images/card/EN_SP-012_C.jpg,"目: バッテン目
口: 吐血
アクセサリー: イバラ
種族: DBPYCB",C
SP-013,五重塔,https://mfctc.kaikaikiki.comassets/images/card/EN_SP-013_C.jpg,"目: まつ毛
口: 不満
背景: 五重塔
種族: NBPBCBBB",C
SP-014,シャンプーハット,https://mfctc.kaikaikiki.comassets/images/card/EN_SP-014_C.jpg,"目: バッテン目
口: べぇ
アクセサリー: シャンプーハット
種族: PPWRP",C
SP-015,酔っぱらい 生ビール,https://mfctc.kaikaikiki.comassets/images/card/EN_SP-015_C.jpg,"目: ウインク
口: にやり
アクセサリー: 酔っ払い 生ビール
種族: PCCPGRV",C
SP-016,衝撃の事実,https://mfctc.kaikaikiki.comassets/images/card/EN_SP-016_R.jpg,"目: まつ毛
口: 不満
背景: 衝撃
種族: RVRRVLV",R
SP-017,ウィリアムテル,https://mfctc.kaikaikiki.comassets/images/card/EN_SP-017_R.jpg,"目: ウインク
口: べぇ
アクセサリー: ウィリアムテル
種族: DRLVCR",R
SP-018,LED ヘルメット,https://mfctc.kaikaikiki.comassets/images/card/EN_SP-018_R.jpg,"口: 笑顔
コスチューム: LEDヘルメット
種族: DBWCR",R
SP-019,はちまき,https://mfctc.kaikaikiki.comassets/images/card/EN_SP-019_C.jpg,"目: ノーマル
口: にやり
アクセサリー: はちまき
種族: LSBWTB",C
SP-020,サマーバカンス,https://mfctc.kaikaikiki.comassets/images/card/EN_SP-020_C.jpg,"口: 笑顔
アイウェア: レイガンサングラス
マウスウェア: すいか
背景: 太陽
種族: BTBCB",C
SP-021,スペースシューティングウォーズ,https://mfctc.kaikaikiki.comassets/images/card/EN_SP-021_R.jpg,"目: 寝てる
口: 笑顔
背景: スペースシューティングウォーズ
種族: DBWCR",R
SP-022,子供お花,https://mfctc.kaikaikiki.comassets/images/card/EN_SP-022_SR.jpg,"コスチューム: 子供お花
背景: 発光
種族: LPPPBA",SR
SP-023,スーパーゾンビ,https://mfctc.kaikaikiki.comassets/images/card/EN_SP-023_R.jpg,"目: 泣く
口: びっくり
マスク: スーパーゾンビ
種族: PABVG",R
SP-024,エンジェルパイロット,https://mfctc.kaikaikiki.comassets/images/card/EN_SP-024_C.jpg,"目: バッテン目
口: にやり
アイウェア: パイロットゴーグル
コスチューム: 天使の輪っか
種族: VMLPDP",C
SP-025,片睨みメンチ,https://mfctc.kaikaikiki.comassets/images/card/EN_SP-025_C.jpg,"口: 不満
アイウェア: 片睨みメンチ
種族: CDVRR",C
SP-026,Hamburger,https://mfctc.kaikaikiki.comassets/images/card/EN_SP-026_C.jpg,"目: よそ見
口: ぺろり
アイウェア: パイロットゴーグル
アクセサリー: ハンバーガー
種族: RARCA",C
