id,name,image_url,description,rarity
SP-120,The Dark Side of the Moonのプリズム,https://mfctc.kaikaikiki.comassets/images/card/JP_SP-120_SR.jpg,"EYE: Looking Away
MOUTH: Stunned
BACKGROUND: Prism
TRIBE: VLVGG",SR
SP-170,パッチ,https://mfctc.kaikaikiki.comassets/images/card/JP_SP-170_C.jpg,"EYE: Looking Away
MOUTH: Pursed Lips
EYEWARE: Patch
TRIBE: DRLDPCV",C
SP-180,吐血,https://mfctc.kaikaikiki.comassets/images/card/JP_SP-180_C.jpg,"EYE: Open
MOUTH: Hematemesis
TRIBE: PCPG",C
SP-200,野球キャッチャー,https://mfctc.kaikaikiki.comassets/images/card/JP_SP-200_SR.jpg,"EYE: Eyelashes
MOUTH: Drool
ACCESSORY: Cap
COSTUME: Baseball Mitt
TRIBE: IMHY",SR
SP-212,バッター,https://mfctc.kaikaikiki.comassets/images/card/JP_SP-212_SR.jpg,"EYE: Eyelashes
MOUTH: Smile
ACCESSORY: Cap
COSTUME: Baseball Bat
TRIBE: GWGG",SR
SP-223,レッドドラゴン,https://mfctc.kaikaikiki.comassets/images/card/JP_SP-223_UR.jpg,"ACCESSORY: FGW stone & ancient bracelet
TRIBE: Red Dragon",UR
SP-224,ブルードラゴン,https://mfctc.kaikaikiki.comassets/images/card/JP_SP-224_UR.jpg,"ACCESSORY: FGW stone & ancient bracelet
TRIBE: Blue Dragon",UR
SP-225,108フラワーズ,https://mfctc.kaikaikiki.comassets/images/card/JP_SP-225_UR.jpg,"FLOWER: Smiling Girl, Dracula, Rainbow
BACKGROUND: FLOWER field",UR
SP-226,108フラワーズ Recised,https://mfctc.kaikaikiki.comassets/images/card/JP_SP-226_UR.jpg,"FLOWER: Smiling Girl, One-sided Glare, Octopus Cap White, Rainbow Glasses
BACKGROUND: FLOWER field",UR
SP-227,飛行機雲とお花ちゃん,https://mfctc.kaikaikiki.comassets/images/card/JP_SP-227_SA.jpg,"SPECIAL: Flower-Chang
TRIBE: Rainbow
BACKGROUND: Contrail",SA
SP-228,髪結ちゃん,https://mfctc.kaikaikiki.comassets/images/card/JP_SP-228_SA.jpg,"ACCESSORY: Large Straw Hat
SPECIAL: Canvas with Murakami Flowers
COSTUME: Dress & Apron
BACKGRPIm: Cumulonimbus Clouds",SA
