URL,Image URL,Name,Number,Set,Price
https://limitlesstcg.com/cards/FO/1,https://images.pokemontcg.io/base3/1_hires.png,Aerodactyl,#1 · Holo Rare,Fossil (FO),18.35
https://limitlesstcg.com/cards/FO/2,https://images.pokemontcg.io/base3/2_hires.png,Articuno,#2 · Holo Rare,Fossil (FO),44.59
https://limitlesstcg.com/cards/FO/3,https://images.pokemontcg.io/base3/3_hires.png,Ditto,#3 · Holo Rare,Fossil (FO),20.52
https://limitlesstcg.com/cards/FO/4,https://images.pokemontcg.io/base3/4_hires.png,Dragonite,#4 · Holo Rare,Fossil (FO),91.06
https://limitlesstcg.com/cards/FO/5,https://images.pokemontcg.io/base3/5_hires.png,Gengar,#5 · Holo Rare,Fossil (FO),47.00
https://limitlesstcg.com/cards/FO/6,https://images.pokemontcg.io/base3/6_hires.png,Haunter,#6 · Holo Rare,Fossil (FO),50.81
https://limitlesstcg.com/cards/FO/7,https://images.pokemontcg.io/base3/7_hires.png,Hitmonlee,#7 · Holo Rare,Fossil (FO),19.63
https://limitlesstcg.com/cards/FO/8,https://images.pokemontcg.io/base3/8_hires.png,Hypno,#8 · Holo Rare,Fossil (FO),20.42
https://limitlesstcg.com/cards/FO/9,https://images.pokemontcg.io/base3/9_hires.png,Kabutops,#9 · Holo Rare,Fossil (FO),21.09
https://limitlesstcg.com/cards/FO/10,https://images.pokemontcg.io/base3/10_hires.png,Lapras,#10 · Holo Rare,Fossil (FO),8.10
https://limitlesstcg.com/cards/FO/11,https://images.pokemontcg.io/base3/11_hires.png,Magneton,#11 · Holo Rare,Fossil (FO),23.88
https://limitlesstcg.com/cards/FO/12,https://images.pokemontcg.io/base3/12_hires.png,Moltres,#12 · Holo Rare,Fossil (FO),43.23
https://limitlesstcg.com/cards/FO/13,https://images.pokemontcg.io/base3/13_hires.png,Muk,#13 · Holo Rare,Fossil (FO),4.95
https://limitlesstcg.com/cards/FO/14,https://images.pokemontcg.io/base3/14_hires.png,Raichu,#14 · Holo Rare,Fossil (FO),23.42
https://limitlesstcg.com/cards/FO/15,https://images.pokemontcg.io/base3/15_hires.png,Zapdos,#15 · Holo Rare,Fossil (FO),25.18
https://limitlesstcg.com/cards/FO/16,https://images.pokemontcg.io/base3/16_hires.png,Aerodactyl,#16 · Rare,Fossil (FO),8.58
https://limitlesstcg.com/cards/FO/17,https://images.pokemontcg.io/base3/17_hires.png,Articuno,#17 · Rare,Fossil (FO),7.43
https://limitlesstcg.com/cards/FO/18,https://images.pokemontcg.io/base3/18_hires.png,Ditto,#18 · Rare,Fossil (FO),7.54
https://limitlesstcg.com/cards/FO/19,https://images.pokemontcg.io/base3/19_hires.png,Dragonite,#19 · Rare,Fossil (FO),15.52
https://limitlesstcg.com/cards/FO/20,https://images.pokemontcg.io/base3/20_hires.png,Gengar,#20 · Rare,Fossil (FO),15.07
https://limitlesstcg.com/cards/FO/21,https://images.pokemontcg.io/base3/21_hires.png,Haunter,#21 · Rare,Fossil (FO),11.27
https://limitlesstcg.com/cards/FO/22,https://images.pokemontcg.io/base3/22_hires.png,Hitmonlee,#22 · Rare,Fossil (FO),6.92
https://limitlesstcg.com/cards/FO/23,https://images.pokemontcg.io/base3/23_hires.png,Hypno,#23 · Rare,Fossil (FO),6.40
https://limitlesstcg.com/cards/FO/24,https://images.pokemontcg.io/base3/24_hires.png,Kabutops,#24 · Rare,Fossil (FO),7.89
https://limitlesstcg.com/cards/FO/25,https://images.pokemontcg.io/base3/25_hires.png,Lapras,#25 · Rare,Fossil (FO),10.51
https://limitlesstcg.com/cards/FO/26,https://images.pokemontcg.io/base3/26_hires.png,Magneton,#26 · Rare,Fossil (FO),4.94
https://limitlesstcg.com/cards/FO/27,https://images.pokemontcg.io/base3/27_hires.png,Moltres,#27 · Rare,Fossil (FO),11.09
https://limitlesstcg.com/cards/FO/28,https://images.pokemontcg.io/base3/28_hires.png,Muk,#28 · Rare,Fossil (FO),5.04
https://limitlesstcg.com/cards/FO/29,https://images.pokemontcg.io/base3/29_hires.png,Raichu,#29 · Rare,Fossil (FO),7.89
https://limitlesstcg.com/cards/FO/30,https://images.pokemontcg.io/base3/30_hires.png,Zapdos,#30 · Rare,Fossil (FO),10.29
https://limitlesstcg.com/cards/FO/31,https://images.pokemontcg.io/base3/31_hires.png,Arbok,#31 · Uncommon,Fossil (FO),1.47
https://limitlesstcg.com/cards/FO/32,https://images.pokemontcg.io/base3/32_hires.png,Cloyster,#32 · Uncommon,Fossil (FO),1.90
https://limitlesstcg.com/cards/FO/33,https://images.pokemontcg.io/base3/33_hires.png,Gastly,#33 · Uncommon,Fossil (FO),1.38
https://limitlesstcg.com/cards/FO/34,https://images.pokemontcg.io/base3/34_hires.png,Golbat,#34 · Uncommon,Fossil (FO),0.82
https://limitlesstcg.com/cards/FO/35,https://images.pokemontcg.io/base3/35_hires.png,Golduck,#35 · Uncommon,Fossil (FO),1.52
