URL,Image URL,Name,Number,Set,Price
https://limitlesstcg.com/cards/G2/1,https://images.pokemontcg.io/gym2/1_hires.png,Blaine's Arcanine,#1 · Holo Rare,Gym Challenge (G2),46.67
https://limitlesstcg.com/cards/G2/2,https://images.pokemontcg.io/gym2/2_hires.png,Blaine's Charizard,#2 · Holo Rare,Gym Challenge (G2),356.71
https://limitlesstcg.com/cards/G2/3,https://images.pokemontcg.io/gym2/3_hires.png,Brock's Ninetales,#3 · Holo Rare,Gym Challenge (G2),47.27
https://limitlesstcg.com/cards/G2/4,https://images.pokemontcg.io/gym2/4_hires.png,Erika's Venusaur,#4 · Holo Rare,Gym Challenge (G2),80.41
https://limitlesstcg.com/cards/G2/5,https://images.pokemontcg.io/gym2/5_hires.png,Giovanni's Gyarados,#5 · Holo Rare,Gym Challenge (G2),57.32
https://limitlesstcg.com/cards/G2/6,https://images.pokemontcg.io/gym2/6_hires.png,Giovanni's Machamp,#6 · Holo Rare,Gym Challenge (G2),115.87
https://limitlesstcg.com/cards/G2/7,https://images.pokemontcg.io/gym2/7_hires.png,Giovanni's Nidoking,#7 · Holo Rare,Gym Challenge (G2),49.07
https://limitlesstcg.com/cards/G2/8,https://images.pokemontcg.io/gym2/8_hires.png,Giovanni's Persian,#8 · Holo Rare,Gym Challenge (G2),29.31
https://limitlesstcg.com/cards/G2/9,https://images.pokemontcg.io/gym2/9_hires.png,Koga's Beedrill,#9 · Holo Rare,Gym Challenge (G2),15.38
https://limitlesstcg.com/cards/G2/10,https://images.pokemontcg.io/gym2/10_hires.png,Koga's Ditto,#10 · Holo Rare,Gym Challenge (G2),35.99
https://limitlesstcg.com/cards/G2/11,https://images.pokemontcg.io/gym2/11_hires.png,Lt. Surge's Raichu,#11 · Holo Rare,Gym Challenge (G2),102.91
https://limitlesstcg.com/cards/G2/12,https://images.pokemontcg.io/gym2/12_hires.png,Misty's Golduck,#12 · Holo Rare,Gym Challenge (G2),23.39
https://limitlesstcg.com/cards/G2/13,https://images.pokemontcg.io/gym2/13_hires.png,Misty's Gyarados,#13 · Holo Rare,Gym Challenge (G2),131.35
https://limitlesstcg.com/cards/G2/14,https://images.pokemontcg.io/gym2/14_hires.png,Rocket's Mewtwo,#14 · Holo Rare,Gym Challenge (G2),200.58
https://limitlesstcg.com/cards/G2/15,https://images.pokemontcg.io/gym2/15_hires.png,Rocket's Zapdos,#15 · Holo Rare,Gym Challenge (G2),45.22
https://limitlesstcg.com/cards/G2/16,https://images.pokemontcg.io/gym2/16_hires.png,Sabrina's Alakazam,#16 · Holo Rare,Gym Challenge (G2),32.85
https://limitlesstcg.com/cards/G2/17,https://images.pokemontcg.io/gym2/17_hires.png,Blaine,#17 · Holo Rare,Gym Challenge (G2),36.24
https://limitlesstcg.com/cards/G2/18,https://images.pokemontcg.io/gym2/18_hires.png,Giovanni,#18 · Holo Rare,Gym Challenge (G2),84.56
https://limitlesstcg.com/cards/G2/19,https://images.pokemontcg.io/gym2/19_hires.png,Koga,#19 · Holo Rare,Gym Challenge (G2),28.21
