URL,Image URL,Name,Number,Set,Price
https://limitlesstcg.com/cards/N3/1,https://images.pokemontcg.io/neo3/1_hires.png,Ampharos,#1 · Holo Rare,Neo Revelation (N3),25.49
https://limitlesstcg.com/cards/N3/2,https://images.pokemontcg.io/neo3/2_hires.png,Blissey,#2 · Holo Rare,Neo Revelation (N3),28.31
https://limitlesstcg.com/cards/N3/3,https://images.pokemontcg.io/neo3/3_hires.png,Celebi,#3 · Holo Rare,Neo Revelation (N3),36.48
https://limitlesstcg.com/cards/N3/4,https://images.pokemontcg.io/neo3/4_hires.png,Crobat,#4 · Holo Rare,Neo Revelation (N3),35.14
https://limitlesstcg.com/cards/N3/5,https://images.pokemontcg.io/neo3/5_hires.png,Delibird,#5 · Holo Rare,Neo Revelation (N3),31.69
https://limitlesstcg.com/cards/N3/6,https://images.pokemontcg.io/neo3/6_hires.png,Entei,#6 · Holo Rare,Neo Revelation (N3),57.82
https://limitlesstcg.com/cards/N3/7,https://images.pokemontcg.io/neo3/7_hires.png,Ho-oh,#7 · Holo Rare,Neo Revelation (N3),74.38
https://limitlesstcg.com/cards/N3/8,https://images.pokemontcg.io/neo3/8_hires.png,Houndoom,#8 · Holo Rare,Neo Revelation (N3),78.12
https://limitlesstcg.com/cards/N3/9,https://images.pokemontcg.io/neo3/9_hires.png,Jumpluff,#9 · Holo Rare,Neo Revelation (N3),13.35
https://limitlesstcg.com/cards/N3/10,https://images.pokemontcg.io/neo3/10_hires.png,Magneton,#10 · Holo Rare,Neo Revelation (N3),22.95
https://limitlesstcg.com/cards/N3/11,https://images.pokemontcg.io/neo3/11_hires.png,Misdreavus,#11 · Holo Rare,Neo Revelation (N3),28.83
https://limitlesstcg.com/cards/N3/12,https://images.pokemontcg.io/neo3/12_hires.png,Porygon2,#12 · Holo Rare,Neo Revelation (N3),24.36
https://limitlesstcg.com/cards/N3/13,https://images.pokemontcg.io/neo3/13_hires.png,Raikou,#13 · Holo Rare,Neo Revelation (N3),103.34
https://limitlesstcg.com/cards/N3/14,https://images.pokemontcg.io/neo3/14_hires.png,Suicune,#14 · Holo Rare,Neo Revelation (N3),89.21
https://limitlesstcg.com/cards/N3/15,https://images.pokemontcg.io/neo3/15_hires.png,Aerodactyl,#15 · Rare,Neo Revelation (N3),5.30
https://limitlesstcg.com/cards/N3/16,https://images.pokemontcg.io/neo3/16_hires.png,Celebi,#16 · Rare,Neo Revelation (N3),12.27
https://limitlesstcg.com/cards/N3/17,https://images.pokemontcg.io/neo3/17_hires.png,Entei,#17 · Rare,Neo Revelation (N3),10.12
https://limitlesstcg.com/cards/N3/18,https://images.pokemontcg.io/neo3/18_hires.png,Ho-oh,#18 · Rare,Neo Revelation (N3),15.19
https://limitlesstcg.com/cards/N3/19,https://images.pokemontcg.io/neo3/19_hires.png,Kingdra,#19 · Rare,Neo Revelation (N3),5.29
https://limitlesstcg.com/cards/N3/20,https://images.pokemontcg.io/neo3/20_hires.png,Lugia,#20 · Rare,Neo Revelation (N3),19.89
https://limitlesstcg.com/cards/N3/21,https://images.pokemontcg.io/neo3/21_hires.png,Raichu,#21 · Rare,Neo Revelation (N3),6.43
https://limitlesstcg.com/cards/N3/22,https://images.pokemontcg.io/neo3/22_hires.png,Raikou,#22 · Rare,Neo Revelation (N3),7.82
