id,name,image_url,description,rarity
MMKTC-001,赤鬼「阿」,https://mmktc.kaikaikiki.comassets/images/card/JP-MMKTC-001_C.jpg,"These Demons “A” and “Um,” symbolizing monstrous anger that has altered their body colors, represent birth and death in Sanskrit, respectively. This also corresponds to the fact that both Sanskrit and Japanese alphabets begin with ""A"" and end with ""N (Um).”
This is the red Demon ""A"". Original modeling by JIYURO. Full-scale modeling was completed through a teamwork between Kenshi Art, Michela Mouto, and HIMAWARI, with painting by Bigakusha’s Yuya Sasaki.
2014 / 430 x 262.4 x 253 cm / FRP, stainless steel, zelkova wood, and acrylic",C
MMKTC-002,青鬼「吽」,https://mmktc.kaikaikiki.comassets/images/card/JP-MMKTC-002_C.jpg,"These Demons “A” and “Um,” symbolizing monstrous anger that has altered their body colors, represent birth and death in Sanskrit, respectively. This also corresponds to the fact that both Sanskrit and Japanese alphabets begin with ""A"" and end with ""N (Um).”
This is the Blue Demon "" Un "". Original modeling by JIYURO. Full-scale modeling was completed through a teamwork between Kenshi Art, Michela Mouto, and HIMAWARI, with painting by Bigakusha’s Yuya Sasaki.
2014 / 432.8 x 254.8 x 253 cm / FRP, stainless steel, zelkova wood, and acrylic",C
MMKTC-003,京の桜図,https://mmktc.kaikaikiki.comassets/images/card/JP-MMKTC-003_C.jpg,"Cherry blossom wallpaper covers an entire wall of the central hall of the Kyoto City KYOCERA Museum of Art for the Takashi Murakami Mononoke Kyoto exhibition. A checkered pattern representing gold and platinum leaf shines in the background, rendering the entire hall a glamorous and festive space. If you look carefully at the wall, you would find Murakami's Flower characters, cats, and mysterious characters called Unfamiliar People.
As this is a horizontally long wallpaper, it is divided into two cards. This card shows the left side of the wallpaper.
2023-2024 / 932 x 2250 cm / Silver vinyl chloride film output, matte laminate",C
MMKTC-004,京の桜図,https://mmktc.kaikaikiki.comassets/images/card/JP-MMKTC-004_C.jpg,"Cherry blossom wallpaper covers an entire wall of the central hall of the Kyoto City KYOCERA Museum of Art for the Takashi Murakami Mononoke Kyoto exhibition. A checkered pattern representing gold and platinum leaf shines in the background, rendering the entire hall a glamorous and festive space. If you look carefully at the wall, you would find Murakami's Flower characters, cats, and mysterious characters called Unfamiliar People.
As this is a horizontally long wallpaper, it is divided into three cards. This card shows the right side of the wallpaper.
2023-2024 / 932 x 2250 cm / Silver vinyl chloride film output, matte laminate",C
MMKTC-005,大仏オーバル,https://mmktc.kaikaikiki.comassets/images/card/JP-MMKTC-005_C.jpg,"Oval Buddha represents the cultural fusion of East and West. Initially a character created for a T-shirt design, it evolved into a spiritual monument over time. With its appearance of the Great Buddha covered with eyes that symbolize knowledge and attention, it is a contemporary symbol of the intersection of Japanese culture and pop culture.
2011 / 156.2 x 80.5 x 78.2 cm (pedestal: 81 × 81x 25 cm) / Gold leaf on bronze",C
MMKTC-006,村上版洛中洛外図 左隻 ＜岩佐又兵衛＞,https://mmktc.kaikaikiki.comassets/images/card/JP-MMKTC-006_C.jpg,"Based on the 17th century screen painting ""Rakuchū-rakugai-zu Byōbu (Funaki version)"" by Iwasa Matabei, this is a contemporary version of ""scenes in and around Kyoto"" depicting the city (Rakuchū) and suburbs (Rakugai) of ancient Kyoto from a bird's eye view. It was produced in response to the museum's request, incorporating a taste of Murakami. The work reflects Murakami's studies at Tokyo University of the Arts and the influence of the mentor he reveres, Nobuo Tsuji. On this card, you can see the area around Nijō Street depicted on the left screen.
2023-2024 / Diptych, each 300 x 653.8 cm / Acrylic and gold leaf on canvas mounted on wood panel
This section is on the left screen.",C
MMKTC-007,村上版洛中洛外図 左隻 ＜岩佐又兵衛＞,https://mmktc.kaikaikiki.comassets/images/card/JP-MMKTC-007_C.jpg,"Based on the 17th century screen painting ""Rakuchū-rakugai-zu Byōbu (Funaki version)"" by Iwasa Matabei, this is a contemporary version of ""scenes in and around Kyoto"" depicting the city (Rakuchū) and suburbs (Rakugai) of ancient Kyoto from a bird's eye view. It was produced in response to the museum's request, incorporating a taste of Murakami. The work reflects Murakami's studies at Tokyo University of the Arts and the influence of the mentor he reveres, Nobuo Tsuji. On this card, you can see the area around Shijō Street depicted on the left screen.
2023-2024 / Diptych, each 300 x 653.8 cm / Acrylic and gold leaf on canvas mounted on wood pane
This section is on the left screen.l",C
MMKTC-008,村上版洛中洛外図 右隻 ＜岩佐又兵衛＞,https://mmktc.kaikaikiki.comassets/images/card/JP-MMKTC-008_C.jpg,"Based on the 17th century screen painting ""Rakuchū-rakugai-zu Byōbu (Funaki version)"" by Iwasa Matabei, this is a contemporary version of ""scenes in and around Kyoto"" depicting the city (Rakuchū) and suburbs (Rakugai) of ancient Kyoto from a bird's eye view. It was produced in response to the museum's request, incorporating a taste of Murakami. The work reflects Murakami's studies at Tokyo University of the Arts and the influence of the mentor he reveres, Nobuo Tsuji. On this card, you can see the area around Gojō Ōhashi Bridge depicted on the right screen.
2023-2024 / Diptych, each 300 x 653.8 cm / Acrylic and gold leaf on canvas mounted on wood panel
This section is on the right screen.",C
MMKTC-009,村上版洛中洛外図 右隻 ＜岩佐又兵衛＞,https://mmktc.kaikaikiki.comassets/images/card/JP-MMKTC-009_C.jpg,"Based on the 17th century screen painting ""Rakuchū-rakugai-zu Byōbu (Funaki version)"" by Iwasa Matabei, this is a contemporary version of ""scenes in and around Kyoto"" depicting the city (Rakuchū) and suburbs (Rakugai) of ancient Kyoto from a bird's eye view. It was produced in response to the museum's request, incorporating a taste of Murakami. The work reflects Murakami's studies at Tokyo University of the Arts and the influence of the mentor he reveres, Nobuo Tsuji. On this card, you can see the area around the Great Buddha Hall of Hōkō-ji Temple depicted on the right screen.
2023-2024 / Diptych, each 300 x 653.8 cm / Acrylic and gold leaf on canvas mounted on wood panel
This section is on the right screen.",C
MMKTC-010,村上版洛中洛外図 左隻 ＜岩佐又兵衛＞るくそー,https://mmktc.kaikaikiki.comassets/images/card/JP-MMKTC-010_C.jpg,"Based on the 17th century screen painting ""Rakuchū-rakugai-zu Byōbu (Funaki version)"" by Iwasa Matabei, this is a contemporary version of ""scenes in and around Kyoto"" depicting the city (Rakuchū) and suburbs (Rakugai) of ancient Kyoto from a bird's eye view. It was produced in response to the museum's request, incorporating a taste of Murakami. The work reflects Murakami's studies at Tokyo University of the Arts and the influence of the mentor he reveres, Nobuo Tsuji. Here, the character Luxor from the film Jellyfish Eyes is roaring on the roof of a house on the Nijō Castle grounds at the intersection of Nijō and Horikawa Streets.
2023-2024 / Diptych, each 300 x 653.8 cm / Acrylic and gold leaf on canvas mounted on wood panel",C
